Island_Name,ZoneName,Cluster_DepthBin_ID,Depth_ft_mn,Longitude_DD_mn,Latitude_DD_mn,CoralBleached_Perc_mn,SiteSuscp_mn,DHW.MeanMax.YR01_mn,DHW.MeanMax.YR10YR01_mn,SST_Variability_AllB4_mn,PAR_surface_mn,kdPAR_mn,TotalEffluent_mn,WaveAction_value_mn,AgGolf_runoff_mn,Urban_runoff_mn,TourRec_10yrAvgPUD_mn,PctBleached_hist_mn,Obs_Year,Weights_DriversAndSpatialAnalysis,Weights_TemporalAnalysis
Hawaii,Hawaii_NW,323 Mid,27.5,-155.8479521,20.05914878,71.298,,,,NA,,,,,,,,,2015,,0.194636801
Hawaii,Hawaii_NW,324 Mid,29.8,-155.8556162,20.06755994,59.375,,,,NA,,,,,,,,,2015,,0.424838223
Hawaii,Hawaii_NW,325 Mid,33.7,-155.8960419,20.14182422,43.88875,,,,NA,,,,,,,,,2015,,0.150023876
Hawaii,Hawaii_NW,326 Mid,30.2,-155.8829658,20.10443608,49.66666667,,,,NA,,,,,,,,,2015,,0.939954681
Hawaii,Hawaii_NW,327 Mid,31.5,-155.8932723,20.13426422,41,,,,NA,,,,,,,,,2015,,0.955542669
Hawaii,Hawaii_NW,328 Mid,35.2,-155.8517328,20.06248323,59.16666667,,,,NA,,,,,,,,,2015,,0.541287834
Hawaii,Hawaii_NW,329 Mid,29.3,-155.8848829,20.11250118,49.375,,,,NA,,,,,,,,,2015,,0.150204287
Hawaii,Hawaii_SW,33 Mid,42,-155.90397,19.07672,40,2.027777778,4.549999982,4.90000011,2.660943409,48.08387375,0.043088235,0,142.1999969,0.164029506,0.090968225,1.100000024,54.64444444,2019,0.033604988,0.028187795
Hawaii,Hawaii_NW,330 Mid,30,-155.8758259,20.09326025,52.80333333,,,,NA,,,,,,,,,2015,,0.954227779
Hawaii,Hawaii_NW,331 Mid,29,-155.84073,20.05033,63.12,,,,NA,,,,,,,,,2015,,0.028187795
Maui,Maui_W,335 Shallow,11.1,-156.4596582,20.73717572,50,,,,NA,,,,,,,,,2015,,0.422278342
Maui,Maui_W,336 Mid,29,-156.46085,20.73229,37.27,,,,NA,,,,,,,,,2015,,0.028187795
Maui,Maui_W,336 Shallow,13.7,-156.4567248,20.72938872,43,,,,NA,,,,,,,,,2015,,0.27729522
Maui,Maui_W,337 Mid,26.6,-156.4631848,20.74787805,15.83333333,,,,NA,,,,,,,,,2015,,0.046417135
Maui,Maui_W,337 Shallow,17.9,-156.4613597,20.74510435,60,,,,NA,,,,,,,,,2015,,0.028187795
Maui,Maui_W,338 Mid,30,-156.44888,20.71268,52.38,,,,NA,,,,,,,,,2015,,0.028187795
Maui,Maui_NW,339 Mid,32,-156.69682,20.91294,55.25,,,,NA,,,,,,,,,2015,,0.028187795
