Island,Depth_ft,Taxon,Bleached,SST_average_x,SST_average_y,SST_average
Lanai,46,MPAT,10,2.685823911,2.685823911,2.685823911
Lanai,15,MPAT,25,2.685823911,2.685823911,2.685823911
Lanai,4,PCOM,0,2.685823911,2.685823911,2.685823911
Lanai,21,MPAT,10,2.685823911,2.685823911,2.685823911
Lanai,35,MPAT,2,2.685823911,2.685823911,2.685823911
Lanai,15,PLOB,1,2.685823911,2.685823911,2.685823911
Lanai,15,PLOB,2,2.685823911,2.685823911,2.685823911
Lanai,32,PLOB,1,2.685823911,2.685823911,2.685823911
Lanai,50,PLOB,1,2.685823911,2.685823911,2.685823911
Maui,52,MCAP,90,2.600486142,2.600486142,2.600486142
